item_id,target_word,target_level,target_POS,tested_sense_desc,sibling_targets
uvlt_4k_t08_i03,transplant,4K,verb,move something to another place,explode (break into pieces violently); diminish (get smaller)
uvlt_4k_t09_i01,adjacent,4K,adjective,beside,sane (not crazy); swift (quick)
uvlt_4k_t09_i02,sane,4K,adjective,not crazy,adjacent (beside); swift (quick)
uvlt_4k_t10_i01,credible,4K,adjective,believable,greasy (oily); abnormal (unusual)
uvlt_4k_t10_i03,abnormal,4K,adjective,unusual,credible (believable); greasy (oily)
uvlt_5k_t03_i01,lime,5K,noun,green fruit,"hum (low, constant sound); pork (meat from pigs)"
uvlt_5k_t06_i02,intrude,5K,verb,enter without permission,notify (announce); erase (remove)
uvlt_5k_t07_i01,shred,5K,verb,cut or tear into small pieces,expire (end); meditate (think deeply)
uvlt_5k_t07_i02,expire,5K,verb,end,shred (cut or tear into small pieces); meditate (think deeply)
uvlt_5k_t07_i03,meditate,5K,verb,think deeply,shred (cut or tear into small pieces); expire (end)
uvlt_5k_t08_i01,ignite,5K,verb,catch fire,swap (exchange); pierce (go into or through something)
uvlt_5k_t08_i03,pierce,5K,verb,go into or through something,ignite (catch fire); swap (exchange)
uvlt_5k_t09_i01,tranquil,5K,adjective,calm and quiet,bald (having no hair); moist (slightly wet)
uvlt_5k_t09_i03,moist,5K,adjective,slightly wet,tranquil (calm and quiet); bald (having no hair)
uvlt_5k_t10_i01,tame,5K,adjective,not dangerous,mandatory (required); prudent (using good judgment)
uvlt_5k_t10_i03,prudent,5K,adjective,using good judgment,tame (not dangerous); mandatory (required)
