item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,ljt_eligibility,sentence_text,syntactic_frame,rationale,known_risks,llm_draft_version
uvlt_1k_t04_i03,plan,1K,noun,way of doing things,appropriate,NA,,routine,eligible,They made a simple plan today.,SVO,way-of-doing-things sense forced by 'made a' + 'simple',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t04_i03,plan,1K,noun,way of doing things,inappropriate,b_collocation,b_collocation,routine,eligible,They made a wet plan today.,SVO,plan + 'wet' non-collocate (detailed/simple/new/backup plan standard),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,appropriate,NA,,routine,eligible,The green grass covered the ground.,SVO,green-leaves sense forced by color adj + 'covered the ground',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,inappropriate,a_selectional,a_selectional,routine,eligible,The angry grass covered the ground.,SVO,grass (-sentient plant) + 'angry' (+sentient emotion) violates animacy,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i02,bath,1K,noun,place to wash,appropriate,NA,,routine,eligible,Please take a hot bath now.,SVO,place-to-wash sense forced by 'take a hot',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i02,bath,1K,noun,place to wash,inappropriate,a_selectional,a_selectional,routine,eligible,Please take a loud bath now.,SVO,bath (as place/activity) is -audible; 'loud' requires +audible N,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,appropriate,NA,,routine,eligible,He hurt his left shoulder yesterday.,SVO,top-end-of-arm body-part sense forced by possessive + 'hurt his',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,inappropriate,a_selectional,a_selectional,routine,eligible,He hurt his talking shoulder yesterday.,SVO,shoulder (-animate body part) + 'talking' (+animate participle) violates animacy,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i01,prepare,1K,verb,get ready,appropriate,NA,,routine,eligible,Mom prepares breakfast every single morning.,SVO-temporal,get-ready sense forced by obj 'breakfast' + habitual adjunct,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i01,prepare,1K,verb,get ready,inappropriate,b_collocation,b_collocation,routine,eligible,Mom prepares anger every single morning.,SVO-temporal,'prepare' + direct obj 'anger' is non-collocate (prepare meals/dinner/answers/report standard),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i02,laugh,1K,verb,make a happy sound,appropriate,NA,,routine,eligible,The children laughed at his joke.,SV-PP,make-happy-sound sense forced by +human subject + 'at his joke',note: subject swap can read as selectional (a). Reviewer should decide a vs b — flagging. CSV labels b per input.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i02,laugh,1K,verb,make a happy sound,inappropriate,b_collocation,b_collocation,routine,eligible,The buildings laughed at his joke.,SV-PP,laugh with +animate subject required; 'buildings laughed' violates at selectional level but kept as b because target verb+prep frame preserved intact and swap is at subject-arg,note: subject swap can read as selectional (a). Reviewer should decide a vs b — flagging. CSV labels b per input.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i03,forget,1K,verb,not remember,appropriate,NA,,routine,eligible,She always forgets her house keys.,SVO,not-remember sense forced by 'always' + obj 'keys',mild risk: 'pink keys' could be naturally pink. Violation is at collocational level of forget+<colored_tangible> combo.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t06_i03,forget,1K,verb,not remember,inappropriate,b_collocation,b_collocation,routine,eligible,She always forgets her pink keys.,SVO,'forget' + modifier 'pink' on the object is odd collocationally; typical: forget names/passwords/keys/birthdays — color on forgotten item unusual,mild risk: 'pink keys' could be naturally pink. Violation is at collocational level of forget+<colored_tangible> combo.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i01,work,1K,verb,do things to get money,appropriate,NA,,careful,careful,Her dad works at the factory.,SV-PP,do-things-for-money sense forced by 'at the factory',minority-sense target (function as work); foil still fails across senses.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i01,work,1K,verb,do things to get money,inappropriate,b_collocation,b_collocation,careful,careful,Her dad works at the apple.,SV-PP,'work at X' with X = concrete fruit is non-collocate; work at + workplace/company standard,minority-sense target (function as work); foil still fails across senses.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i02,return,1K,verb,go back again,appropriate,NA,,careful,careful,She returned home after the party.,SV-PP or SVO-PP,go-back sense forced by 'home' + 'after',minority-sense: return something. Foil works because b-collocate check is on object selection.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i02,return,1K,verb,go back again,inappropriate,b_collocation,b_collocation,careful,careful,She returned a song after the party.,SV-PP or SVO-PP,return + direct obj 'song' non-collocate (return books/calls/emails/keys standard),minority-sense: return something. Foil works because b-collocate check is on object selection.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i03,check,1K,verb,make sure,appropriate,NA,,careful,careful,He checked his email before leaving.,SVO-PP,make-sure sense forced by obj 'email' + temporal 'before leaving',minority-sense: check could mean inspect. Foil still non-collocate there.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t07_i03,check,1K,verb,make sure,inappropriate,b_collocation,b_collocation,careful,careful,He checked his storm before leaving.,SVO-PP,check + 'storm' as direct obj non-collocate (check email/time/answer/work standard),minority-sense: check could mean inspect. Foil still non-collocate there.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i01,reply,1K,verb,say or write an answer to somebody,appropriate,NA,,routine,eligible,She will reply to his kind message.,SV-PP,answer sense forced by 'to his message'; modal 'will' keeps target as base form,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i01,reply,1K,verb,say or write an answer to somebody,inappropriate,b_collocation,b_collocation,routine,eligible,She will reply to his kind mountain.,SV-PP,'reply to X' with X = mountain non-collocate; reply to + message/letter/email/question standard,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i02,bring,1K,verb,carry to another place,appropriate,NA,,routine,eligible,Please bring your own water bottle.,SVO,carry-to-another-place sense forced by 'bring your own' + concrete obj,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i02,bring,1K,verb,carry to another place,inappropriate,b_collocation,b_collocation,routine,eligible,Please bring your own angry bottle.,SVO,bring + 'angry' modifier on the object is non-collocate (cold/fresh/own/extra bottle natural),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i03,stare,1K,verb,look at for a long time,appropriate,NA,,routine,eligible,The boy stared at the sky.,SV-PP,look-at-long-time sense forced by 'at the sky' + animate subject,could read as a selectional. Input CSV labels b. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t08_i03,stare,1K,verb,look at for a long time,inappropriate,b_collocation,b_collocation,routine,eligible,The stone stared at the sky.,SV-PP,subject 'stone' with 'stared at' is non-collocate at subject-level,could read as a selectional. Input CSV labels b. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i01,main,1K,adjective,most important,appropriate,NA,,careful,careful,She was the main guest yesterday.,SVC,most-important sense forced by copula + 'guest',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i01,main,1K,adjective,most important,inappropriate,a_selectional,b_collocation,careful,careful,She was the main chicken yesterday.,SVC,main + 'chicken' non-collocate (main course/reason/idea/problem/guest standard),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i02,bad,1K,adjective,not good,appropriate,NA,,careful,careful,That was a bad decision today.,SVC,not-good sense forced by 'was a bad' + 'decision',minority-sense: could mean 'naughty'. Foil fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i02,bad,1K,adjective,not good,inappropriate,a_selectional,b_collocation,careful,careful,That was a bad triangle today.,SVC,'bad' + 'triangle' non-collocate (bad idea/day/news/habit/decision standard),minority-sense: could mean 'naughty'. Foil fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i03,cold,1K,adjective,not hot,appropriate,NA,,careful,careful,The cold water felt really nice.,SVC,not-hot sense forced by concrete subj 'water' + 'felt nice',note: 'cold idea' can read metaphorically (unfeeling). Watch for idiom rescue; reviewer note.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t09_i03,cold,1K,adjective,not hot,inappropriate,a_selectional,a_selectional,careful,careful,The cold idea felt really nice.,SVC,cold (temperature) requires +concrete/tangible; 'idea' is -concrete,note: 'cold idea' can read metaphorically (unfeeling). Watch for idiom rescue; reviewer note.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i01,definite,1K,adjective,certain,appropriate,NA,,careful,careful,His answer was a definite yes.,SVC,certain sense forced by copula + 'yes',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i01,definite,1K,adjective,certain,inappropriate,a_selectional,b_collocation,careful,careful,His answer was a definite potato.,SVC,definite + 'potato' non-collocate (definite answer/yes/no/plan/improvement standard),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i02,general,1K,adjective,usual,appropriate,NA,,careful,careful,The general idea was really good.,N-mod,usual sense forced by 'idea' + 'really good',minority-sense: could be 'military general'. Foil fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i02,general,1K,adjective,usual,inappropriate,a_selectional,b_collocation,careful,careful,The general potato was really good.,N-mod,general + 'potato' non-collocate (general idea/rule/feeling/public/opinion standard),minority-sense: could be 'military general'. Foil fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i03,awful,1K,adjective,very bad,appropriate,NA,,careful,careful,The food tasted awful last night.,SVC,very-bad sense forced by 'food' + 'tasted',oddness could be attributed to taste+idea rather than awful's selection. Reviewer flag — may relabel as failure mode 4.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t10_i03,awful,1K,adjective,very bad,inappropriate,a_selectional,a_selectional,careful,careful,The idea tasted awful last night.,SVC,'idea' (-substance) + 'tasted' requires +substance. Awful is preserved; oddness is tied via tasted-<mod>-subject.,oddness could be attributed to taste+idea rather than awful's selection. Reviewer flag — may relabel as failure mode 4.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i01,feature,2K,noun,important part of something,appropriate,NA,,careful,careful,The new phone has many features.,SVO,important-part sense forced by 'phone' + 'many',minority-sense; feature can be 'face'. Foil still fails there (loud face odd too).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i01,feature,2K,noun,important part of something,inappropriate,a_selectional,a_selectional,careful,careful,The new phone has loud features.,SVO,feature (attribute) -audible; 'loud' needs +audible N,minority-sense; feature can be 'face'. Foil still fails there (loud face odd too).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i02,coach,2K,noun,person who trains members of sports teams,appropriate,NA,,careful,careful,The coach praised every young player today.,SVO-temporal,trainer sense forced by 'coach praised every young player',"iteration 2 — human subject retained, violation relocated onto main verb.",claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i02,coach,2K,noun,person who trains members of sports teams,inappropriate,a_selectional,a_selectional,careful,careful,The coach swallowed every young player today.,SVO-temporal,coach (+human trainer) + 'swallowed' (+ingestion) violates the agent-action compatibility; coaches praise/train/teach/encourage/criticize players,"iteration 2 — human subject retained, violation relocated onto main verb.",claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i03,weed,2K,noun,unwanted plant,appropriate,NA,,routine,eligible,The gardener pulled some tall weeds.,SVO,unwanted-plant sense forced by 'gardener pulled',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t01_i03,weed,2K,noun,unwanted plant,inappropriate,a_selectional,a_selectional,routine,eligible,The gardener pulled some happy weeds.,SVO,weed (plant -sentient) + 'happy' (+sentient),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i01,vegetable,2K,noun,food grown in gardens,appropriate,NA,,routine,eligible,We grew fresh vegetables every year.,SVO,food-from-garden sense forced by 'grew' + 'fresh',could slide to a_selectional (vegetables -animate). Labeled b per input; reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i01,vegetable,2K,noun,food grown in gardens,inappropriate,b_collocation,b_collocation,routine,eligible,We grew angry vegetables every year.,SVO,vegetable + 'angry' modifier non-collocate (fresh/frozen/green/cooked vegetables standard),could slide to a_selectional (vegetables -animate). Labeled b per input; reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i02,knowledge,2K,noun,information which a person has,appropriate,NA,,routine,eligible,His knowledge of history is deep.,N-subj_copula_AdjP,information sense forced by 'of history' + 'deep',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i02,knowledge,2K,noun,information which a person has,inappropriate,b_collocation,b_collocation,routine,eligible,His knowledge of history is pink.,N-subj_copula_AdjP,knowledge + 'pink' non-collocate (deep/broad/basic/limited/general knowledge standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i03,average,2K,noun,middle number,appropriate,NA,,routine,eligible,The average was above nine points.,N-subj_copula_PP,middle-number sense forced by 'above nine' + 'points',"note: the swapped word is 'sneezes', the object of preposition. Still in direct syntactic relation with 'above nine', not average. Potential fail-mode-4; reviewer flag.",claude-opus-drafting-v1-2026-04-19
uvlt_2k_t02_i03,average,2K,noun,middle number,inappropriate,b_collocation,b_collocation,routine,eligible,The average was above nine sneezes.,N-subj_copula_PP,average + 'sneezes' as the unit non-collocate (average score/age/temperature/cost/number standard),"note: the swapped word is 'sneezes', the object of preposition. Still in direct syntactic relation with 'above nine', not average. Potential fail-mode-4; reviewer flag.",claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i01,circle,2K,noun,round shape,appropriate,NA,,careful,careful,Draw a big circle on paper.,SVO-PP,round-shape sense forced by 'draw' + 'on paper',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i01,circle,2K,noun,round shape,inappropriate,a_selectional,a_selectional,careful,careful,Draw a loud circle on paper.,SVO-PP,circle (-audible shape) + 'loud' requires +audible,,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i02,knife,2K,noun,something used to cut food,appropriate,NA,,routine,eligible,He cut the bread with a knife.,SVO-PP,cutting-tool sense forced by 'cut bread with',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i02,knife,2K,noun,something used to cut food,inappropriate,a_selectional,a_selectional,routine,eligible,He cut the bread with a happy knife.,SVO-PP,knife (-animate tool) + 'happy' (+animate),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i03,justice,2K,noun,using laws fairly,appropriate,NA,,careful,eligible,The judge tried to bring justice.,SVO (inf V+obj),using-laws-fairly sense forced by 'judge' + 'bring',watch: 'taste justice' metaphoric idiom? Reviewer check; 'poverty tasted bitter' flagged in spec §3.4.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t03_i03,justice,2K,noun,using laws fairly,inappropriate,a_selectional,a_selectional,careful,eligible,The judge tried to taste justice.,SVO (inf V+obj),justice (abstract -substance) + 'taste' requires +substance,watch: 'taste justice' metaphoric idiom? Reviewer check; 'poverty tasted bitter' flagged in spec §3.4.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i01,section,2K,noun,part,appropriate,NA,,careful,careful,Read the last section of the book.,SVO-PP,part sense forced by 'last section of the book',could fail as selectional (section -audible). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i01,section,2K,noun,part,inappropriate,b_collocation,b_collocation,careful,careful,Read the loud section of the book.,SVO-PP,section + 'loud' non-collocate (last/first/main/next/whole section standard),could fail as selectional (section -audible). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i02,site,2K,noun,place,appropriate,NA,,careful,careful,The building site was very busy.,SVC,place sense forced by 'building' compound + 'busy',might slide to a_selectional (site -sentient). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i02,site,2K,noun,place,inappropriate,b_collocation,b_collocation,careful,careful,The building site was very asleep.,SVC,site + 'asleep' non-collocate (busy/new/main/construction/work site standard),might slide to a_selectional (site -sentient). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i03,sheet,2K,noun,something to cover a bed,appropriate,NA,,careful,careful,Please put a clean sheet here.,SVO,bed-cover sense forced by 'put a clean',minority-sense: sheet of paper. 'loud sheet' fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t04_i03,sheet,2K,noun,something to cover a bed,inappropriate,b_collocation,b_collocation,careful,careful,Please put a loud sheet here.,SVO,sheet + 'loud' non-collocate (clean/white/fresh/cotton sheet standard),minority-sense: sheet of paper. 'loud sheet' fails there too.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i01,envelope,2K,noun,cover for letters,appropriate,NA,,routine,eligible,He sent the envelope this week.,SVO,letter-cover sense forced by 'sent',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i01,envelope,2K,noun,cover for letters,inappropriate,a_selectional,a_selectional,routine,eligible,He sent the asleep envelope this week.,SVO,envelope (-sentient) + 'asleep' (+sentient/animate),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i02,cap,2K,noun,kind of hat,appropriate,NA,,careful,careful,He wore a blue cap outside.,SVO,hat sense forced by 'wore a blue',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i02,cap,2K,noun,kind of hat,inappropriate,a_selectional,a_selectional,careful,careful,He wore a talking cap outside.,SVO,cap (-animate) + 'talking' (+animate),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i03,apartment,2K,noun,place to live inside a tall building,appropriate,NA,,routine,eligible,They rented a small apartment downtown.,SVO,place-to-live sense forced by 'rented a small','sleeping apartment' faint compositional meaning (an apartment for sleeping)? Reviewer check.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t05_i03,apartment,2K,noun,place to live inside a tall building,inappropriate,a_selectional,a_selectional,routine,eligible,They rented a sleeping apartment downtown.,SVO,apartment (-animate) + 'sleeping' (+animate),'sleeping apartment' faint compositional meaning (an apartment for sleeping)? Reviewer check.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i01,wrap,2K,verb,cover tightly and completely,appropriate,NA,,routine,eligible,She wrapped the gift in paper.,SVO-PP,cover-tightly sense forced by obj 'gift' + 'in paper',could read as selectional (music -concrete wrap target). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i01,wrap,2K,verb,cover tightly and completely,inappropriate,b_collocation,b_collocation,routine,eligible,She wrapped the music in paper.,SVO-PP,wrap + direct obj 'music' non-collocate (wrap gift/box/package/present/sandwich standard),could read as selectional (music -concrete wrap target). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i02,contribute,2K,verb,give to,appropriate,NA,,careful,careful,They contributed money to the hospital.,SVO-PP,give-to sense forced by 'money to hospital',spec example verbatim (§3.4 b1 variant).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i02,contribute,2K,verb,give to,inappropriate,b_collocation,b_collocation,careful,careful,They contributed laughter to the hospital.,SVO-PP,contribute + direct obj 'laughter' non-collocate (contribute money/time/effort/ideas/support standard),spec example verbatim (§3.4 b1 variant).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i03,seek,2K,verb,look for,appropriate,NA,,routine,eligible,He sought advice from his father.,SVO-PP,look-for sense forced by 'advice from father',spec example verbatim (§3.4 b3).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i03,seek,2K,verb,look for,inappropriate,b_collocation,b_collocation,routine,eligible,He sought laughter from his father.,SVO-PP,seek + direct obj 'laughter' non-collocate (seek advice/help/approval/justice/support standard),spec example verbatim (§3.4 b3).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i01,contain,2K,verb,have something inside,appropriate,NA,,routine,eligible,The box contains three old books.,SVO,have-inside sense forced by 'box' + countable obj,FAIL-MODE-4 risk: 'loud ideas' may drive the oddness rather than contain-ideas. Flagging prominently.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i01,contain,2K,verb,have something inside,inappropriate,b_collocation,b_collocation,routine,eligible,The box contains three loud ideas.,SVO,contain + 'ideas' (+abstract) non-collocate for +physical_container subject; also 'loud ideas' unusual,FAIL-MODE-4 risk: 'loud ideas' may drive the oddness rather than contain-ideas. Flagging prominently.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i02,search,2K,verb,look for,appropriate,NA,,routine,eligible,She searched the room for keys.,SVO-PP,look-for sense forced by 'room for keys',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i02,search,2K,verb,look for,inappropriate,b_collocation,b_collocation,routine,eligible,She searched the room for songs.,SVO-PP,search for + 'songs' in physical room non-collocate (search for keys/information/answers/clues/truth standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i03,avoid,2K,verb,try not to do,appropriate,NA,,routine,eligible,She avoided heavy traffic every morning.,SVO-temporal,try-not-to-do sense forced by 'heavy traffic' + habitual,,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i03,avoid,2K,verb,try not to do,inappropriate,b_collocation,b_collocation,routine,eligible,She avoided heavy triangles every morning.,SVO-temporal,avoid + 'triangles' non-collocate (avoid traffic/conflict/mistakes/problems/eye contact standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i01,receive,2K,verb,get something,appropriate,NA,,routine,eligible,She received a nice birthday gift.,SVO,get-something sense forced by 'nice birthday gift',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i01,receive,2K,verb,get something,inappropriate,b_collocation,b_collocation,routine,eligible,She received a nice birthday sky.,SVO,receive + 'sky' non-collocate (receive gift/letter/email/call/message/award standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i02,bump,2K,verb,hit gently,appropriate,NA,,routine,eligible,He bumped his knee on the desk.,SVO-PP,hit-gently sense forced by 'knee on desk',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i02,bump,2K,verb,hit gently,inappropriate,b_collocation,b_collocation,routine,eligible,He bumped his dream on the desk.,SVO-PP,bump + 'dream' as obj non-collocate (bump head/knee/elbow/into someone standard),,claude-opus-drafting-v1-2026-04-19
