group_id,item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,candidate_id,approach_label,sentence_text,syntactic_frame,rationale,known_risks,r1_q1,r1_q2,r1_q3,r1_q4,r1_notes,r2_q1,r2_q2,r2_q3,r2_q4,r2_notes,r1_best_candidate,r1_blend_spec,r1_group_notes,r2_best_candidate,r2_blend_spec,r2_group_notes,adjudication_final_candidate,adjudication_notes
uvlt_1k_t01_i02_inapp,uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,2,audible-violation,We framed the loud family photograph.,SVO,photograph is -audible; modifier 'loud' requires +audible head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i02_inapp,uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,3,animate-violation,The photograph on the wall laughed.,SV-PP,photograph is -animate; predicate 'laughed' requires +animate/+sentient subject,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_app,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,1,draft-v1,Flowers grew in the small garden.,SV-PP,place-where-things-grow sense forced by 'flowers grew in',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_app,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,2,object-frame,She watered the small front garden.,SVO,place-for-growing sense forced by 'watered' + 'small front',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_app,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,3,subject-verb-change,Birds sang in the big garden.,SV-PP,garden (outdoor place) forced by 'birds sang in the',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_inapp,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,Flowers grew in the loud garden.,SV-PP,garden (place) is -audible; adj 'loud' requires +audible modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_inapp,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,inappropriate,a_selectional,a_selectional,routine,2,animate-violation,She watered the angry front garden.,SVO,garden (place) is -sentient; 'angry' requires +sentient modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i03_inapp,uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,inappropriate,a_selectional,a_selectional,routine,3,animate-violation-2,Birds sang in the asleep garden.,SV-PP,garden is -animate; 'asleep' requires +animate head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_app,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,appropriate,NA,,careful,1,draft-v1,The baby opened her right eye.,SVO,body-part sense forced by 'right' + 'opened',"careful item: eye is polysemous (needle eye, storm eye). Target preserved.",,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_app,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,appropriate,NA,,careful,2,verb-object-swap,The doctor examined my left eye.,SVO,body-part sense forced by 'doctor examined' + 'left',"careful item: eye polysemy (needle, storm). Target preserved.",,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_app,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,appropriate,NA,,careful,3,modifier-swap,She closed her tired right eye.,SVO,body-part sense forced by 'closed' + 'tired right',careful item: eye polysemy preserved across candidates.,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_inapp,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,inappropriate,b_collocation,b_collocation,careful,1,draft-v1,The baby measured her right eye.,SVO,verb 'measure' + direct obj 'eye' is non-collocate; 'open/close/rub/shut eye' standard,"careful item: eye is polysemous (needle eye, storm eye). Target preserved.",,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_inapp,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,inappropriate,b_collocation,b_collocation,careful,2,modifier-collocate,The doctor examined my musical eye.,SVO,'musical eye' is not a COCA collocate for body-part sense (left/right/tired/sore/bright standard); target eye preserved,careful item: 'musical eye' has no storm/needle rescue.,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i01_inapp,uvlt_1k_t02_i01,eye,1K,noun,body part that sees,inappropriate,b_collocation,b_collocation,careful,3,modifier-collocate-2,She closed her quick right eye.,SVO,'quick eye' for body-part is non-collocate in this frame (typical: tired/sore/bright/left/right),careful item: 'quick eye' metaphor possible but foil rejects across senses.,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_app,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,appropriate,NA,,careful,1,draft-v1,Her father works on Saturdays.,SV-PP,parent-who-is-a-man forced by possessive + temporal adjunct,borderline: 'melt' can metaphorically apply to people (heart melts) — risk partial foil rescue; flag for reviewer,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_app,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,appropriate,NA,,careful,2,verb-object-swap,My father cooks dinner every Sunday.,SVO-temporal,parent-who-is-a-man sense forced by 'my' + 'cooks dinner every Sunday',iteration: kin+habitual-action frame.,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_app,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,appropriate,NA,,careful,3,SVO-frame,Her father bought a new car.,SVO,parent sense forced by possessive + 'bought',,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_inapp,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,inappropriate,b_collocation,b_collocation,careful,1,draft-v1,Her father melts on Saturdays.,SV-PP,father (human) + 'melts' is non-collocate; melt is -human_subject typical,borderline: 'melt' can metaphorically apply to people (heart melts) — risk partial foil rescue; flag for reviewer,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_inapp,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,inappropriate,b_collocation,b_collocation,careful,2,verb-collocate,My father boils dinner every Sunday.,SVO-temporal,'father boils' as main verb is non-collocate for human agent (cooks/makes/prepares standard); target preserved,,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i02_inapp,uvlt_1k_t02_i02,father,1K,noun,parent who is a man,inappropriate,b_collocation,b_collocation,careful,3,verb-collocate-2,Her father rusted a new car.,SVO,'father rusted' is non-collocate; +human subject with 'rusted' (material process) unusual,,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_app,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,appropriate,NA,,routine,1,draft-v1,She reads books every cold night.,SVO-temporal,part-of-day-with-no-sun forced by temporal reading + modifier 'cold',,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_app,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,appropriate,NA,,routine,2,copula-frame,The night was dark and quiet.,SVC,part-of-day sense forced by 'was dark and quiet',,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_app,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,appropriate,NA,,routine,3,PP-frame,We walked home on that night.,SV-PP,part-of-day sense forced by 'walked home on that',,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_inapp,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,inappropriate,b_collocation,b_collocation,routine,1,draft-v1,She reads books every pink night.,SVO-temporal,night + color modifier 'pink' is non-collocate (dark/cold/long/quiet night standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_inapp,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,inappropriate,b_collocation,b_collocation,routine,2,copula-collocate,The night was sweet and quiet.,SVC,'sweet night' is non-collocate for temporal sense (dark/cold/long/quiet/silent standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t02_i03_inapp,uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,inappropriate,b_collocation,b_collocation,routine,3,modifier-collocate,We walked home on that edible night.,SV-PP,'edible night' non-collocate for part-of-day (long/cold/rainy/quiet/dark night standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_app,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,appropriate,NA,,routine,1,draft-v1,My uncle lives near the park.,SV-PP,mother/father's brother sense forced by possessive + 'lives',,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_app,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,appropriate,NA,,routine,2,visit-frame,She visited her uncle last weekend.,SVO-temporal,kin sense forced by possessive + 'visited' + 'last weekend',,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_app,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,appropriate,NA,,routine,3,drive-frame,Her uncle drove to the station.,SV-PP,kin (+human) sense forced by 'drove to the station',,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_inapp,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,My uncle grows near the park.,SV-PP,uncle (+human) with 'grows' (+plant typical) violates animacy/growth selection,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_inapp,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,inappropriate,a_selectional,a_selectional,routine,2,edible-violation,She visited her edible uncle last weekend.,SVO-temporal,uncle (+human) is -edible; 'edible' requires +food/+substance modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i01_inapp,uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,inappropriate,a_selectional,a_selectional,routine,3,substance-violation,Her uncle melted in the station.,SV-PP,uncle (+human) is -substance; 'melted' requires +substance/+meltable subject,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_app,uvlt_1k_t03_i02,center,1K,noun,middle,appropriate,NA,,careful,1,draft-v1,Please stand in the center here.,SV-PP,middle sense forced by locative 'stand in the',minority-sense polysemy: community/shopping center. Foil selectional works across senses.,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_app,uvlt_1k_t03_i02,center,1K,noun,middle,appropriate,NA,,careful,2,locative-frame,The ball rolled to the center.,SV-PP,middle sense forced by 'ball rolled to the',minority-sense polysemy (community center). Foil works across senses.,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_app,uvlt_1k_t03_i02,center,1K,noun,middle,appropriate,NA,,careful,3,drawing-frame,She drew a dot in the center.,SVO-PP,middle sense forced by 'drew a dot in the',,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_inapp,uvlt_1k_t03_i02,center,1K,noun,middle,inappropriate,a_selectional,a_selectional,careful,1,draft-v1,Please stand in the angry center.,SV-PP,center (-animate geometric) + 'angry' (+sentient) violates animacy of modified N,minority-sense polysemy: community/shopping center. Foil selectional works across senses.,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_inapp,uvlt_1k_t03_i02,center,1K,noun,middle,inappropriate,a_selectional,a_selectional,careful,2,animate-violation,The ball rolled to the happy center.,SV-PP,center (geometric middle) is -sentient; 'happy' requires +sentient modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i02_inapp,uvlt_1k_t03_i02,center,1K,noun,middle,inappropriate,a_selectional,a_selectional,careful,3,animate-violation-2,She drew a dot in the hungry center.,SVO-PP,center is -animate; 'hungry' requires +animate head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_app,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,appropriate,NA,,careful,1,draft-v1,She left a short note here.,SVO,short-piece-of-writing forced by 'left' + size adj 'short',"minority-sense: music note. Foil also fails there, so robust.",,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_app,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,appropriate,NA,,careful,2,read-frame,He read the short note quickly.,SVO-adv,short-piece-of-writing sense forced by 'read' + 'short' + 'quickly',minority-sense: music note. Foil fails there too.,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_app,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,appropriate,NA,,careful,3,write-frame,She wrote a kind note today.,SVO-temporal,writing sense forced by 'wrote' + 'kind' modifier,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_inapp,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,inappropriate,a_selectional,a_selectional,careful,1,draft-v1,She left a shouting note here.,SVO,note (-animate) + 'shouting' (+animate participle) violates animacy,"minority-sense: music note. Foil also fails there, so robust.",,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_inapp,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,inappropriate,a_selectional,a_selectional,careful,2,animate-violation-multi-modifier,He read the angry short note quickly.,SVO-adv,note (-sentient writing) cannot bear 'angry' (animate emotion modifier); 8 words max,,,,,,,,,,,,,,,,,,,
uvlt_1k_t03_i03_inapp,uvlt_1k_t03_i03,note,1K,noun,short piece of writing,inappropriate,a_selectional,a_selectional,careful,3,animate-violation-2,She wrote a sleeping note today.,SVO-temporal,note (-animate) cannot be 'sleeping'; requires +animate head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_app,uvlt_1k_t04_i01,brother,1K,noun,family member,appropriate,NA,,routine,1,draft-v1,Her brother plays tennis after school.,SVO-PP,family-member sense forced by possessive + 'plays tennis',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_app,uvlt_1k_t04_i01,brother,1K,noun,family member,appropriate,NA,,routine,2,study-frame,My brother studies math at university.,SVO-PP,kin sense forced by 'my' + 'studies math at university',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_app,uvlt_1k_t04_i01,brother,1K,noun,family member,appropriate,NA,,routine,3,drive-frame,Her brother drives a small truck.,SVO,kin sense forced by possessive + 'drives a small truck',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_inapp,uvlt_1k_t04_i01,brother,1K,noun,family member,inappropriate,b_collocation,b_collocation,routine,1,draft-v1,Her brother wraps tennis after school.,SVO-PP,'brother' + 'wraps tennis' is non-collocate; normal: brother plays/watches/likes,,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_inapp,uvlt_1k_t04_i01,brother,1K,noun,family member,inappropriate,b_collocation,b_collocation,routine,2,prep-collocate,My brother studies math at triangles.,SVO-PP,'at triangles' as location PP for student non-collocate (at university/school/home/college standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i01_inapp,uvlt_1k_t04_i01,brother,1K,noun,family member,inappropriate,b_collocation,b_collocation,routine,3,modifier-collocate,Her brother drives a hungry truck.,SVO,'hungry truck' non-collocate; truck modifiers: small/big/new/old/red standard,,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_app,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,appropriate,NA,,routine,1,draft-v1,The meeting lasted one full hour.,SVO,sixty-minutes sense forced by 'lasted' + 'one full',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_app,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,appropriate,NA,,routine,2,duration-frame,They walked for one whole hour.,SV-PP,sixty-minutes sense forced by 'walked for one whole',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_app,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,appropriate,NA,,routine,3,adjunct-frame,The train arrived one hour late.,SV-adv,sixty-minutes sense forced by 'train arrived one' + 'late',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_inapp,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,inappropriate,b_collocation,b_collocation,routine,1,draft-v1,The meeting lasted one pink hour.,SVO,hour + color 'pink' non-collocate (full/whole/short/extra hour standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_inapp,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,inappropriate,b_collocation,b_collocation,routine,2,modifier-collocate,They walked for one sleepy hour.,SV-PP,'sleepy hour' non-collocate for duration (whole/full/short/entire/extra hour standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i02_inapp,uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,inappropriate,b_collocation,b_collocation,routine,3,modifier-collocate-2,The train arrived one hungry hour late.,SV-adv,'hungry hour' non-collocate for time unit; time units take quantitative/temporal modifiers,,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_app,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,appropriate,NA,,routine,1,draft-v1,They made a simple plan today.,SVO,way-of-doing-things sense forced by 'made a' + 'simple',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_app,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,appropriate,NA,,routine,2,write-frame,She wrote a clear plan yesterday.,SVO-temporal,way-of-doing-things sense forced by 'wrote' + 'clear',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_app,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,appropriate,NA,,routine,3,copula-frame,His plan was too complex today.,SVC,plan-as-strategy sense forced by 'was too complex today',,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_inapp,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,inappropriate,b_collocation,b_collocation,routine,1,draft-v1,They made a wet plan today.,SVO,plan + 'wet' non-collocate (detailed/simple/new/backup plan standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_inapp,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,inappropriate,b_collocation,b_collocation,routine,2,modifier-collocate,She wrote a sweet plan yesterday.,SVO-temporal,'sweet plan' non-collocate for strategy (clear/detailed/simple/new/backup/main plan standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t04_i03_inapp,uvlt_1k_t04_i03,plan,1K,noun,way of doing things,inappropriate,b_collocation,b_collocation,routine,3,copula-collocate,His plan was too loud today.,SVC,'loud plan' via copula non-collocate; plan modifiers: clear/complex/simple/bold standard,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_app,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,appropriate,NA,,routine,1,draft-v1,The green grass covered the ground.,SVO,green-leaves sense forced by color adj + 'covered the ground',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_app,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,appropriate,NA,,routine,2,eat-frame,Sheep ate the fresh green grass.,SVO,plant sense forced by 'sheep ate the fresh green',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_app,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,appropriate,NA,,routine,3,PP-frame,Children played on the wet grass.,SV-PP,plant sense forced by 'played on the wet',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_inapp,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,The angry grass covered the ground.,SVO,grass (-sentient plant) + 'angry' (+sentient emotion) violates animacy,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_inapp,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,inappropriate,a_selectional,a_selectional,routine,2,animate-violation,Sheep ate the talking green grass.,SVO,grass is -sentient plant; 'talking' requires +animate/+human modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i01_inapp,uvlt_1k_t05_i01,grass,1K,noun,green leaves that cover the ground,inappropriate,a_selectional,a_selectional,routine,3,animate-violation-2,Children played on the sleepy grass.,SV-PP,grass is -sentient; 'sleepy' requires +animate head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_app,uvlt_1k_t05_i02,bath,1K,noun,place to wash,appropriate,NA,,routine,1,draft-v1,Please take a hot bath now.,SVO,place-to-wash sense forced by 'take a hot',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_app,uvlt_1k_t05_i02,bath,1K,noun,place to wash,appropriate,NA,,routine,2,bath-prep-frame,She ran a warm bubble bath.,SVO,place-to-wash sense forced by 'ran' + 'warm bubble',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_app,uvlt_1k_t05_i02,bath,1K,noun,place to wash,appropriate,NA,,routine,3,enjoy-frame,He enjoyed a long evening bath.,SVO,place-to-wash sense forced by 'enjoyed' + 'long evening',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_inapp,uvlt_1k_t05_i02,bath,1K,noun,place to wash,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,Please take a loud bath now.,SVO,bath (as place/activity) is -audible; 'loud' requires +audible N,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_inapp,uvlt_1k_t05_i02,bath,1K,noun,place to wash,inappropriate,a_selectional,a_selectional,routine,2,animate-violation,She ran a talking bubble bath.,SVO,bath is -animate; 'talking' requires +animate modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i02_inapp,uvlt_1k_t05_i02,bath,1K,noun,place to wash,inappropriate,a_selectional,a_selectional,routine,3,animate-violation-2,He enjoyed a hungry evening bath.,SVO,bath (place/activity) is -sentient; 'hungry' requires +animate head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_app,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,appropriate,NA,,routine,1,draft-v1,He hurt his left shoulder yesterday.,SVO,top-end-of-arm body-part sense forced by possessive + 'hurt his',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_app,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,appropriate,NA,,routine,2,touch-frame,She touched his warm right shoulder.,SVO,body-part sense forced by 'touched' + 'warm right',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_app,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,appropriate,NA,,routine,3,PP-frame,A bag hung from her shoulder.,SV-PP,body-part sense forced by 'bag hung from',,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_inapp,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,He hurt his talking shoulder yesterday.,SVO,shoulder (-animate body part) + 'talking' (+animate participle) violates animacy,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_inapp,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,inappropriate,a_selectional,a_selectional,routine,2,edible-violation,She touched his edible right shoulder.,SVO,shoulder (-edible body part) conflicts with 'edible' which requires +food,,,,,,,,,,,,,,,,,,,
uvlt_1k_t05_i03_inapp,uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,inappropriate,a_selectional,a_selectional,routine,3,animate-violation,A bag hung from her happy shoulder.,SV-PP,shoulder is -sentient body part; 'happy' requires +sentient modified noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_app,uvlt_1k_t06_i01,prepare,1K,verb,get ready,appropriate,NA,,routine,1,draft-v1,Mom prepares breakfast every single morning.,SVO-temporal,get-ready sense forced by obj 'breakfast' + habitual adjunct,,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_app,uvlt_1k_t06_i01,prepare,1K,verb,get ready,appropriate,NA,,routine,2,object-swap,Dad prepared dinner for the family.,SVO-PP,get-ready sense forced by +human subject 'Dad' + obj 'dinner',,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_app,uvlt_1k_t06_i01,prepare,1K,verb,get ready,appropriate,NA,,routine,3,student-frame,Students prepared answers for the exam.,SVO-PP,get-ready sense forced by 'students prepared answers for the exam',,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_inapp,uvlt_1k_t06_i01,prepare,1K,verb,get ready,inappropriate,b_collocation,b_collocation,routine,1,draft-v1,Mom prepares anger every single morning.,SVO-temporal,'prepare' + direct obj 'anger' is non-collocate (prepare meals/dinner/answers/report standard),,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_inapp,uvlt_1k_t06_i01,prepare,1K,verb,get ready,inappropriate,b_collocation,b_collocation,routine,2,object-collocate,Dad prepared silence for the family.,SVO-PP,'prepare silence' non-collocate; prepare meals/food/dinner/speech/report standard,,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i01_inapp,uvlt_1k_t06_i01,prepare,1K,verb,get ready,inappropriate,b_collocation,b_collocation,routine,3,object-collocate-2,Students prepared thunder for the exam.,SVO-PP,'prepare thunder' non-collocate; prepare for exam: answers/notes/questions standard,,,,,,,,,,,,,,,,,,,
uvlt_1k_t06_i02_app,uvlt_1k_t06_i02,laugh,1K,verb,make a happy sound,appropriate,NA,,routine,1,draft-v1,The children laughed at his joke.,SV-PP,make-happy-sound sense forced by +human subject + 'at his joke',note: subject swap can read as selectional (a). Reviewer should decide a vs b — flagging. CSV labels b per input.,,,,,,,,,,,,,,,,,,
